scheme,fold,model,pearson,spearman,rmse,r2,auprc_synergy,prevalence_synergy,n_test
cold_cell,0,lgbm_chem_bio,0.452371456538186,0.43899397582233946,6.0714345556313845,0.18024896820825387,0.32126098755853055,0.06980133968784291,61059
cold_cell,0,lgbm_full,0.45470374810393305,0.4328243675448518,6.011421791196503,0.19637444559587958,0.265209499621848,0.06980133968784291,61059
cold_cell,1,mean,,,6.154448079656205,-0.03283359499365046,0.04316293125157391,0.04316293125157391,79420
cold_cell,1,history_ridge,0.4860121196097237,0.48334756425721787,5.402342466692441,0.2041772416928277,0.2208468703356596,0.04316293125157391,79420
cold_cell,1,lgbm_chem_bio,0.4568742410736407,0.4545184723770624,5.506942262465695,0.1730615653957739,0.2648602262913654,0.04316293125157391,79420
cold_cell,1,lgbm_full,0.4814335785176952,0.454584384047149,5.3373841593864615,0.2232002876703444,0.25171533404116625,0.04316293125157391,79420
cold_cell,2,mean,,,6.71356395537828,-0.05089033833165524,0.05004398006237173,0.05004398006237173,75034
cold_cell,2,history_ridge,0.477620194522422,0.4899743930179912,6.1965501112465455,0.10473610423990698,0.25729339567476184,0.05004398006237173,75034
cold_cell,2,lgbm_chem_bio,0.3306312307054021,0.3709022375227793,6.523021549625071,0.007915270664805574,0.14592502754516676,0.05004398006237173,75034
cold_cell,2,lgbm_full,0.42449929209558923,0.4032622642130806,5.961065040965358,0.17148789300939582,0.24412764387519395,0.05004398006237173,75034
