scheme,model,feature,family,gain
cold_cell,lgbm_full,n_drug_min_log,Screen history: in-fold counts,0.008865985080406024
random,lgbm_chem_bio,fps_33,Chemistry: fingerprint bits,0.00865165952445744
cold_pair,lgbm_chem_bio,fps_33,Chemistry: fingerprint bits,0.008405754855302141
cold_drug,lgbm_chem_bio,fps_33,Chemistry: fingerprint bits,0.007903153471543023
cold_drug,lgbm_full,chem_heavy_atoms_sum,Chemistry: descriptors & similarity,0.007846601754248147
cold_drug,lgbm_chem_bio,chem_hba_sum,Chemistry: descriptors & similarity,0.0077473994600006256
cold_cell,lgbm_chem_bio,fps_33,Chemistry: fingerprint bits,0.007698590031058876
cold_pair,lgbm_chem_bio,fps_323,Chemistry: fingerprint bits,0.007581876424920732
random,lgbm_chem_bio,chem_heavy_atoms_absdiff,Chemistry: descriptors & similarity,0.007521971780016244
cold_drug,lgbm_chem_bio,chem_heavy_atoms_absdiff,Chemistry: descriptors & similarity,0.0075061196880067725
cold_cell,lgbm_chem_bio,chem_heavy_atoms_absdiff,Chemistry: descriptors & similarity,0.007439923261682343
cold_pair,lgbm_chem_bio,chem_heavy_atoms_absdiff,Chemistry: descriptors & similarity,0.007380988116383856
random,lgbm_chem_bio,chem_rot_bonds_sum,Chemistry: descriptors & similarity,0.007346317023352217
cold_pair,lgbm_chem_bio,chem_rot_bonds_sum,Chemistry: descriptors & similarity,0.007298343745942855
cold_pair,lgbm_chem_bio,chem_hba_sum,Chemistry: descriptors & similarity,0.007255807186034344
cold_pair,lgbm_full,chem_heavy_atoms_sum,Chemistry: descriptors & similarity,0.007161956441223691
random,lgbm_full,chem_heavy_atoms_sum,Chemistry: descriptors & similarity,0.00708626438062624
cold_cell,lgbm_full,chem_heavy_atoms_sum,Chemistry: descriptors & similarity,0.007075059762347079
cold_drug,lgbm_chem_bio,chem_rot_bonds_sum,Chemistry: descriptors & similarity,0.007063419275323159
cold_drug,lgbm_chem_bio,rna_pc12,Biology: RNA expression PCs,0.007042968058053764
cold_cell,lgbm_chem_bio,fps_99,Chemistry: fingerprint bits,0.006967469426540122
random,lgbm_chem_bio,fps_136,Chemistry: fingerprint bits,0.006954004148810097
cold_pair,lgbm_chem_bio,fps_136,Chemistry: fingerprint bits,0.006789468489875126
random,lgbm_chem_bio,chem_hba_sum,Chemistry: descriptors & similarity,0.006750718281617957
cold_cell,lgbm_chem_bio,chem_rot_bonds_sum,Chemistry: descriptors & similarity,0.006729556580051113
cold_cell,lgbm_chem_bio,chem_hba_sum,Chemistry: descriptors & similarity,0.006610394372528957
random,lgbm_chem_bio,rna_pc12,Biology: RNA expression PCs,0.006600819351431246
cold_drug,lgbm_chem_bio,fps_457,Chemistry: fingerprint bits,0.006591499224016177
cold_drug,lgbm_full,n_cell_log,Screen history: in-fold counts,0.00638696064163823
cold_cell,lgbm_chem_bio,fps_323,Chemistry: fingerprint bits,0.00620777031190678
cold_drug,lgbm_full,chem_heavy_atoms_absdiff,Chemistry: descriptors & similarity,0.005673716182016817
cold_pair,lgbm_full,chem_heavy_atoms_absdiff,Chemistry: descriptors & similarity,0.005415502710281096
random,lgbm_full,chem_heavy_atoms_absdiff,Chemistry: descriptors & similarity,0.005259224608089715
cold_drug,lgbm_full,chem_rot_bonds_absdiff,Chemistry: descriptors & similarity,0.005235422142365818
random,lgbm_full,chem_rot_bonds_sum,Chemistry: descriptors & similarity,0.005019145268144926
cold_pair,lgbm_full,chem_rot_bonds_sum,Chemistry: descriptors & similarity,0.0050118670499451476
cold_cell,lgbm_full,chem_heavy_atoms_absdiff,Chemistry: descriptors & similarity,0.005009209905637209
cold_pair,lgbm_full,n_cell_log,Screen history: in-fold counts,0.004884596125989201
random,lgbm_full,n_cell_log,Screen history: in-fold counts,0.004879771914757215
cold_cell,lgbm_full,chem_rot_bonds_sum,Chemistry: descriptors & similarity,0.004688880294261215
cold_cell,lgbm_full,chem_rot_bonds_absdiff,Chemistry: descriptors & similarity,0.004660479041813199
